127.0.0.1 - - [12/Apr/2021:22:19:04 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:05 +0900] "GET /2/enter.jsp HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:05 +0900] "GET /2/resources/css/out.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:12 +0900] "GET /2/enter?user_id=a&user_pw=b HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:13 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:13 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:34 +0900] "GET /2/all HTTP/1.1" 200 20452
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:19:34 +0900] "GET /2/resources/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:21:57 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:21:57 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:22:02 +0900] "GET /2/add2?cart_image=%20http://img.danawa.com/prod_img/500000/265/625/img/12625265_1.jpg?shrink=100:100&product_id=AMD%20%EB%9D%BC%EC%9D%B4%EC%A0%A05-4%EC%84%B8%EB%8C%80%205600X%20(%EB%B2%84%EB%AF%B8%EC%96%B4)%20(%EB%A9%80%ED%8B%B0%ED%8C%A9)&cart_price=478790&user_id=&cart_count=1 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:22:03 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:22:05 +0900] "GET /2/all HTTP/1.1" 500 9674
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:23:45 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:23:47 +0900] "GET /2/all HTTP/1.1" 500 9674
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:24:44 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:24:46 +0900] "GET /2/all HTTP/1.1" 500 9674
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:47 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:47 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:49 +0900] "GET /2/cpu?id=2 HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:50 +0900] "GET /2/cpu?id=3 HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:52 +0900] "GET /2/random HTTP/1.1" 200 1666
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:25:55 +0900] "GET /2/.jsp HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:26:09 +0900] "GET /2/all HTTP/1.1" 500 9674
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:27:28 +0900] "GET /2/.jsp HTTP/1.1" 404 796
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:30:38 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:30:38 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:30:41 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:30:42 +0900] "GET /2/all HTTP/1.1" 200 20053
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:30:42 +0900] "GET /2/resources/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:31:48 +0900] "GET /2/miniimg.jsp?mini_nm=6 HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:31:48 +0900] "GET /2/resources/img/6.jpg HTTP/1.1" 200 2487797
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:32:24 +0900] "GET /2/all HTTP/1.1" 200 13526
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:32:28 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:32:33 +0900] "GET /2/all HTTP/1.1" 200 13526
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:33:47 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:33:54 +0900] "GET /2/all HTTP/1.1" 200 13526
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:35:54 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:35:54 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:35:57 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:35:59 +0900] "GET /2/cpu?id=3 HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:36:01 +0900] "GET /2/add2?cart_image=%20http://img.danawa.com/prod_img/500000/233/305/img/11305233_1.jpg?shrink=100:100&product_id=%EC%9D%B8%ED%85%94%20%EC%BD%94%EC%96%B4i9-10%EC%84%B8%EB%8C%80%2010900K%20(%EC%BD%94%EB%A9%A7%EB%A0%88%EC%9D%B4%ED%81%ACS)%20(%EC%A0%95%ED%92%88)&cart_price=668190&user_id=&cart_count=1 HTTP/1.1" 500 9628
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:37:04 +0900] "GET /2/all HTTP/1.1" 200 13523
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:37:18 +0900] "GET /2/cpu?id=3 HTTP/1.1" 200 3817
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:37:20 +0900] "GET /2/add2?cart_image=%20http://img.danawa.com/prod_img/500000/233/305/img/11305233_1.jpg?shrink=100:100&product_id=%EC%9D%B8%ED%85%94%20%EC%BD%94%EC%96%B4i9-10%EC%84%B8%EB%8C%80%2010900K%20(%EC%BD%94%EB%A9%A7%EB%A0%88%EC%9D%B4%ED%81%ACS)%20(%EC%A0%95%ED%92%88)&cart_price=668190&user_id=&cart_count=1 HTTP/1.1" 500 9628
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:38:19 +0900] "GET /2/all HTTP/1.1" 200 13523
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:38:41 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:38:46 +0900] "GET /2/all HTTP/1.1" 200 13523
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:38:48 +0900] "GET /2/cpu_page HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:39:02 +0900] "GET /2/add2?cart_image=%20http://img.danawa.com/prod_img/500000/265/625/img/12625265_1.jpg?shrink=100:100&product_id=AMD%20%EB%9D%BC%EC%9D%B4%EC%A0%A05-4%EC%84%B8%EB%8C%80%205600X%20(%EB%B2%84%EB%AF%B8%EC%96%B4)%20(%EB%A9%80%ED%8B%B0%ED%8C%A9)&cart_price=478790&user_id=&cart_count=1 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:39:03 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:39:04 +0900] "GET /2/all HTTP/1.1" 500 9674
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:42:45 +0900] "GET /2/danawa_main HTTP/1.1" 200 17735
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:42:45 +0900] "GET /2/resources/css/main_exterior.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2021:22:42:48 +0900] "GET /2/all HTTP/1.1" 500 9676
